'lead_level'	'race'
8.3	'whites'
0.9	'whites'
2.9	'whites'
5.6	'whites'
5.8	'whites'
5.4	'whites'
1.2	'whites'
1	'whites'
1.4	'whites'
2.1	'whites'
1.3	'whites'
5.3	'whites'
8.8	'whites'
6.6	'whites'
5.2	'whites'
3	'whites'
2.9	'whites'
2.7	'whites'
6.7	'whites'
3.2	'whites'
4.8	'blacks'
1.4	'blacks'
0.9	'blacks'
10.8	'blacks'
2.4	'blacks'
0.4	'blacks'
5	'blacks'
5.4	'blacks'
6.1	'blacks'
2.9	'blacks'
5	'blacks'
2.1	'blacks'
7.5	'blacks'
3.4	'blacks'
13.8	'blacks'
1.4	'blacks'
3.5	'blacks'
3.3	'blacks'
14.8	'blacks'
3.7	'blacks'
