'Hospital'	'ratio'	'situation'
'Blue Mountain'	80	'Inpatient'
'Curry General'	76	'Inpatient'
'Good Shepherd'	75	'Inpatient'
'Grande Ronde'	62	'Inpatient'
'Harney District'	100	'Inpatient'
'Lake District'	100	'Inpatient'
'Pioneer'	88	'Inpatient'
'St. Anthony'	64	'Inpatient'
'St. Elizabeth'	50	'Inpatient'
'Tillamook'	54	'Inpatient'
'Wallowa Memorial'	83	'Inpatient'
'Blue Mountain'	62	'Outpatient'
'Curry General'	66	'Outpatient'
'Good Shepherd'	63	'Outpatient'
'Grande Ronde'	51	'Outpatient'
'Harney District'	54	'Outpatient'
'Lake District'	75	'Outpatient'
'Pioneer'	65	'Outpatient'
'St. Anthony'	56	'Outpatient'
'St. Elizabeth'	45	'Outpatient'
'Tillamook'	48	'Outpatient'
'Wallowa Memorial'	71	'Outpatient'
