'Community'	'Price (avg)'	'Homes_sold'	'Low'	'High'
'Cayucos'	937366	31	380000	2450000
'Pismo Beach'	804212	71	439000	2500000
'Cambria'	728312	85	340000	2000000
'Avila Beach'	654918	16	475000	1375000
'Morro Bay'	606456	114	257000	2650000
'Arroyo Grande'	595577	214	178000	1526000
'Templeton'	578249	89	265000	2350000
'San Luis Obispo'	557628	277	258000	2400000
'Nipomo'	528572	138	263000	1295000
'Los Osos'	511866	123	140000	3500000
'Santa Margarita'	430354	22	290000	583000
'Atascadero'	420603	270	140000	1600000
'Grover Beach'	416405	97	242000	720000
'Paso Robles'	412584	439	170000	1575000
'Oceano'	390354	59	177000	1350000
