'Percentage'	'Type'
7.88	'Consumer_Debt'
7.91	'Consumer_Debt'
7.65	'Consumer_Debt'
7.61	'Consumer_Debt'
7.48	'Consumer_Debt'
7.49	'Consumer_Debt'
7.37	'Consumer_Debt'
6.57	'Consumer_Debt'
6.24	'Consumer_Debt'
6.09	'Consumer_Debt'
6.32	'Consumer_Debt'
6.97	'Consumer_Debt'
7.38	'Consumer_Debt'
7.52	'Consumer_Debt'
7.84	'Consumer_Debt'
6.22	'Household_Debt'
6.14	'Household_Debt'
5.95	'Household_Debt'
5.83	'Household_Debt'
5.83	'Household_Debt'
5.85	'Household_Debt'
5.81	'Household_Debt'
5.79	'Household_Debt'
5.73	'Household_Debt'
5.95	'Household_Debt'
6.09	'Household_Debt'
6.28	'Household_Debt'
6.08	'Household_Debt'
5.79	'Household_Debt'
5.81	'Household_Debt'
