'%time'	'Status'
59	'Genetic_Altered'
62	'Genetic_Altered'
73	'Genetic_Altered'
80	'Genetic_Altered'
84	'Genetic_Altered'
85	'Genetic_Altered'
89	'Genetic_Altered'
92	'Genetic_Altered'
92	'Genetic_Altered'
93	'Genetic_Altered'
100	'Genetic_Altered'
2	'Not-Genetically Altered'
5	'Not-Genetically Altered'
13	'Not-Genetically Altered'
28	'Not-Genetically Altered'
34	'Not-Genetically Altered'
40	'Not-Genetically Altered'
48	'Not-Genetically Altered'
50	'Not-Genetically Altered'
51	'Not-Genetically Altered'
54	'Not-Genetically Altered'
60	'Not-Genetically Altered'
67	'Not-Genetically Altered'
70	'Not-Genetically Altered'
76	'Not-Genetically Altered'
81	'Not-Genetically Altered'
84	'Not-Genetically Altered'
85	'Not-Genetically Altered'
92	'Not-Genetically Altered'
97	'Not-Genetically Altered'
99	'Not-Genetically Altered'
