'Subject'	'MPF (hz)_'	'Location'	'when'
1	6.4	1	'before'
2	8.7	1	'before'
3	7.4	1	'before'
4	8.7	1	'before'
5	9.8	1	'before'
6	8.9	1	'before'
7	9.3	1	'before'
8	7.4	1	'before'
9	6.6	1	'before'
10	8.9	1	'before'
1	8	1	'after'
2	12.6	1	'after'
3	8.4	1	'after'
4	9	1	'after'
5	8.4	1	'after'
6	11	1	'after'
7	14.4	1	'after'
8	11.3	1	'after'
9	7.1	1	'after'
10	11.2	1	'after'
1	6.9	2	'before'
2	9.5	2	'before'
3	6.7	2	'before'
4	9	2	'before'
5	9.7	2	'before'
6	9	2	'before'
7	7.9	2	'before'
8	8.3	2	'before'
9	7.2	2	'before'
10	7.4	2	'before'
1	9.4	2	'after'
2	11.2	2	'after'
3	10.2	2	'after'
4	9.6	2	'after'
5	9.2	2	'after'
6	11.9	2	'after'
7	9.1	2	'after'
8	9.3	2	'after'
9	8	2	'after'
10	9.1	2	'after'
