'Player'	'translation (mm)'	'Arm (Positional Player)'
1	30.31	'Dominant'
2	44.86	'Dominant'
3	22.09	'Dominant'
4	31.26	'Dominant'
5	28.07	'Dominant'
6	31.93	'Dominant'
7	34.68	'Dominant'
8	29.1	'Dominant'
9	25.51	'Dominant'
10	22.49	'Dominant'
11	28.74	'Dominant'
12	27.89	'Dominant'
13	28.48	'Dominant'
14	25.6	'Dominant'
15	20.21	'Dominant'
16	33.77	'Dominant'
17	32.59	'Dominant'
18	32.6	'Dominant'
19	29.3	'Dominant'
1	32.54	'Nondominant'
2	40.95	'Nondominant'
3	23.48	'Nondominant'
4	31.11	'Nondominant'
5	28.75	'Nondominant'
6	29.32	'Nondominant'
7	34.79	'Nondominant'
8	28.87	'Nondominant'
9	27.59	'Nondominant'
10	21.01	'Nondominant'
11	30.31	'Nondominant'
12	27.92	'Nondominant'
13	27.85	'Nondominant'
14	24.95	'Nondominant'
15	21.59	'Nondominant'
16	32.48	'Nondominant'
17	32.48	'Nondominant'
18	31.61	'Nondominant'
19	27.46	'Nondominant'
