'Player'	'translation (mm)'	'arm (Positional player)'
1	30.31	'dominant'
2	44.86	'dominant'
3	22.09	'dominant'
4	31.26	'dominant'
5	28.07	'dominant'
6	31.93	'dominant'
7	34.68	'dominant'
8	29.1	'dominant'
9	25.51	'dominant'
10	22.49	'dominant'
11	28.74	'dominant'
12	27.89	'dominant'
13	28.48	'dominant'
14	25.6	'dominant'
15	20.21	'dominant'
16	33.77	'dominant'
17	32.59	'dominant'
18	32.6	'dominant'
19	29.3	'dominant'
1	32.54	'non-dominant'
2	40.95	'non-dominant'
3	23.48	'non-dominant'
4	31.11	'non-dominant'
5	28.75	'non-dominant'
6	29.32	'non-dominant'
7	34.79	'non-dominant'
8	28.87	'non-dominant'
9	27.59	'non-dominant'
10	21.01	'non-dominant'
11	30.31	'non-dominant'
12	27.92	'non-dominant'
13	27.85	'non-dominant'
14	24.95	'non-dominant'
15	21.59	'non-dominant'
16	32.48	'non-dominant'
17	32.48	'non-dominant'
18	31.61	'non-dominant'
19	27.46	'non-dominant'
