'Pitcher'	'translation (mm)'	'arm (pitcher)'
1	27.63	'dominant'
2	30.57	'dominant'
3	32.62	'dominant'
4	39.79	'dominant'
5	28.5	'dominant'
6	26.7	'dominant'
7	30.34	'dominant'
8	28.69	'dominant'
9	31.19	'dominant'
10	36	'dominant'
11	31.58	'dominant'
12	32.55	'dominant'
13	29.56	'dominant'
14	28.64	'dominant'
15	28.58	'dominant'
16	31.99	'dominant'
17	27.16	'dominant'
1	24.33	'non-dominant'
2	26.36	'non-dominant'
3	30.62	'non-dominant'
4	33.74	'non-dominant'
5	29.84	'non-dominant'
6	26.71	'non-dominant'
7	26.45	'non-dominant'
8	21.49	'non-dominant'
9	20.82	'non-dominant'
10	21.75	'non-dominant'
11	28.32	'non-dominant'
12	27.22	'non-dominant'
13	28.86	'non-dominant'
14	28.58	'non-dominant'
15	27.15	'non-dominant'
16	29.46	'non-dominant'
17	21.26	'non-dominant'
