'pretzels'	'treatment'
8	'one'
7	'one'
4	'one'
13	'one'
2	'one'
1	'one'
5	'one'
8	'one'
11	'one'
5	'one'
1	'one'
0	'one'
6	'one'
4	'one'
10	'one'
7	'one'
0	'one'
12	'one'
5	'one'
6	'one'
10	'one'
8	'one'
6	'one'
2	'one'
10	'one'
6	'two'
8	'two'
0	'two'
4	'two'
9	'two'
8	'two'
6	'two'
2	'two'
7	'two'
8	'two'
8	'two'
5	'two'
14	'two'
9	'two'
0	'two'
6	'two'
3	'two'
12	'two'
1	'three'
5	'three'
2	'three'
0	'three'
3	'three'
0	'three'
3	'three'
4	'three'
4	'three'
5	'three'
5	'three'
7	'three'
8	'three'
4	'three'
0	'three'
6	'three'
3	'three'
5	'four'
2	'four'
5	'four'
7	'four'
5	'four'
2	'four'
0	'four'
0	'four'
3	'four'
4	'four'
2	'four'
4	'four'
1	'four'
1	'four'
